Source,Target,Weight,cooccur_count
armour,technology,2.965784284662087,7
science,universe,2.965784284662087,4
fur,working animal,2.965784284662087,2
fiction,helmet,2.965784284662087,2
night,sphere,2.965784284662087,2
science,symmetry,2.965784284662087,2
electricity,night,2.965784284662087,2
animated cartoon,muscle,2.965784284662087,2
dome,night,2.965784284662087,2
darkness,evening,2.965784284662087,2
animated cartoon,mythical creature,2.965784284662087,2
armour,mask,2.9885043611621707,4
astronaut,graphics,3.0064262691594332,3
dragon,graphics,3.0064262691594332,3
film,muscle,3.0115879742752116,2
action figure,armour,3.020925838854548,5
eyelash,portrait photography,3.0429521451845467,4
digital compositing,winter,3.0429521451845467,2
tail,whiskers,3.0429521451845467,2
blue,crystal,3.0588936890535683,2
blue,purple,3.0588936890535683,2
black,dog,3.0588936890535683,2
blue,meteorological phenomenon,3.0588936890535683,2
blue,turret,3.0588936890535683,2
shadow,still life photography,3.091315166745946,2
darkness,heat,3.091315166745946,2
astronomical object,astronomy,3.113341473075945,3
dog,whiskers,3.113341473075945,3
anime,cg artwork,3.124482030681145,5
action-adventure game,cg artwork,3.124482030681145,3
cg artwork,supernatural creature,3.1244820306811456,4
cg artwork,squirrel,3.1244820306811456,2
animation,horn,3.1244820306811456,2
animation,wildlife,3.1244820306811456,2
fur,snout,3.1292830169449664,7
action,armour,3.158429362604483,5
fire,red,3.158429362604483,3
flame,red,3.158429362604483,3
facial expression,lips,3.158429362604483,2
facial expression,portrait,3.158429362604483,2
facial expression,glasses,3.158429362604483,2
facial expression,temple,3.158429362604483,2
automotive lighting,red,3.158429362604483,2
mythology,wing,3.158429362604483,2
atmospheric phenomenon,dusk,3.158429362604483,2
facial expression,no expression,3.158429362604483,2
facial expression,tooth,3.158429362604483,2
fur,tail,3.158429362604483,2
cat,snout,3.169925001442312,3
film,no expression,3.1815129757175242,3
robot,science,3.2288186904958804,4
dog,fur,3.2288186904958804,3
digital compositing,universe,3.265344566520995,4
orange,sun,3.265344566520995,2
orange,symbol,3.265344566520995,2
astronomical object,moonlight,3.265344566520995,2
fire,orange,3.2653445665209953,6
flame,orange,3.2653445665209953,6
orange,sunset,3.2653445665209953,6
